#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2017,1,8,12,50,60,7.4,8.9,2.63,7.69,6.43,82,1017.3,26,26.8,19.5,99,99
2017,1,8,13,50,60,7.1,9,2.63,8.33,6.48,72,1017.4,25.9,26.9,19.8,99,99
2017,1,8,14,50,61,6.6,8.5,2.42,12.9,6.43,34,1016.6,25.8,26.9,19.7,99,99
2017,1,8,15,50,60,5.8,7.3,2.37,7.69,6.49,59,1015.9,25.7,26.9,19.5,99,99
2017,1,8,16,50,49,4.9,6,2.22,7.69,6.52,75,1015,25.8,27,20.1,99,99
2017,1,8,17,50,57,6.4,7.9,2.25,8.33,6.69,76,1014.3,25,27,20.7,99,99
2017,1,8,18,50,43,6.5,7.7,2.14,8.33,6.71,69,1014.1,25.2,27,21,99,99
2017,1,8,19,50,44,4.7,6.2,2.1,7.69,6.58,84,1014.4,25.2,27,21.1,99,99
2017,1,8,20,50,45,7,8.3,2.09,7.69,6.39,75,1014.5,24.6,27,21.2,99,99
2017,1,8,21,50,44,6.9,9,2.25,7.69,6.47,76,1015,24.7,26.9,20.5,99,99
2017,1,8,22,50,56,7.1,8.8,2.08,7.69,6.5,63,1015.7,23.2,26.9,21,99,99
2017,1,8,23,50,75,6.5,10.1,2.25,7.69,6.47,77,1016,23.7,26.9,20.5,99,99
2017,1,9,0,50,44,7.9,9.8,2.19,7.14,6.25,66,1015.9,24.8,26.9,21.2,99,99
2017,1,9,1,50,60,8,9.6,2.13,7.14,6.1,79,1015.3,25.4,26.9,20.7,99,99
2017,1,9,2,50,71,7.7,9,2.04,8.33,6.05,56,1014.9,25.4,26.8,20.7,99,99
2017,1,9,3,50,82,7.3,8.4,2.29,7.69,6.24,74,1014.6,25.1,26.8,21,99,99
2017,1,9,4,50,71,4.4,7.8,2.28,8.33,6.28,57,1014.1,24.4,26.8,20.6,99,99
2017,1,9,5,50,54,8.6,10.4,2.26,8.33,6.3,54,1013.3,25.4,26.8,20.5,99,99
2017,1,9,6,50,68,8.4,10.2,2.31,8.33,6.29,54,1013.1,25.3,26.8,20.9,99,99
2017,1,9,7,50,54,7.8,9.1,2.3,7.14,6.07,67,1013.1,25.2,26.8,21,99,99
2017,1,9,8,50,56,8.8,10,2.13,9.09,5.85,48,1013.1,25.2,26.7,20.4,99,99
2017,1,9,9,50,59,8.9,10.7,2.23,8.33,6.13,55,1013.4,25.5,26.7,20.2,99,99
2017,1,9,10,50,60,9.1,11.3,2.19,9.09,5.92,50,1014.1,25.7,26.7,19.9,99,99
2017,1,9,11,50,70,8.8,10.1,2.21,8.33,5.95,56,1015,25.8,26.7,20.3,99,99
2017,1,9,12,50,73,8.6,10.2,2.37,8.33,6.15,49,1015.5,26,26.7,19.9,99,99
2017,1,9,13,50,72,8.4,10.3,2.16,7.69,5.87,66,1015.4,25.9,26.7,20.3,99,99
2017,1,9,14,50,67,8.9,10.5,2.48,8.33,6.16,67,1014.8,25.8,26.7,19.9,99,99
2017,1,9,15,50,72,8.1,9.5,2.23,8.33,6.03,52,1014,25.8,26.7,19.7,99,99
2017,1,9,16,50,65,7.7,8.8,2.15,7.14,5.83,66,1013.2,25.9,26.7,19.5,99,99
2017,1,9,17,50,66,6.9,8.6,2.1,7.69,5.89,72,1012.5,25.9,26.8,19.9,99,99
2017,1,9,18,50,60,7.2,8.4,2.08,8.33,6.06,60,1012.1,25.9,26.8,19.6,99,99
2017,1,9,19,50,58,7.3,8.3,2.08,7.69,5.95,66,1012.2,26,26.8,19.7,99,99
2017,1,9,20,50,61,7.5,8.8,1.99,8.33,6.02,61,1012.4,25.9,26.7,19.8,99,99
2017,1,9,21,50,57,8,9.3,2.08,7.69,6.08,69,1012.8,25.8,26.7,20.3,99,99
2017,1,9,22,50,57,8.3,9.8,2.02,8.33,5.92,60,1013.3,25.7,26.7,20,99,99
2017,1,9,23,50,62,8.8,10.4,2.08,8.33,6.11,48,1013.8,25.6,26.6,20.4,99,99
2017,1,10,0,50,59,8.8,10.1,2.1,8.33,5.82,54,1014.3,25.5,26.6,20.3,99,99
2017,1,10,1,50,66,9,10.6,2.22,8.33,6.01,60,1013.9,25.4,26.6,20.4,99,99
2017,1,10,2,50,69,8.8,11,2.09,8.33,5.82,50,1013.5,25.4,26.6,20.4,99,99
2017,1,10,3,50,84,7.4,9,1.95,8.33,5.66,68,1013.3,25.5,26.6,20.3,99,99
2017,1,10,4,50,54,8,9.2,2.05,9.09,5.78,49,1012.6,25.2,26.6,20.7,99,99
2017,1,10,5,50,67,7.6,9,1.89,8.33,5.74,59,1011.8,25.4,26.5,20.3,99,99
2017,1,10,6,50,79,6.9,8.7,2.12,9.09,5.87,50,1011.1,24.7,26.5,19.7,99,99
2017,1,10,7,50,68,7.7,9,2.14,9.09,6.01,54,1010.8,25.3,26.5,19.6,99,99
2017,1,10,8,50,72,6.9,8.5,2.12,9.09,6.06,52,1011.1,25.1,26.5,20,99,99
2017,1,10,9,50,70,7.6,8.9,2.08,8.33,6.02,56,1011.5,25.3,26.5,19.7,99,99
2017,1,10,10,50,73,6.5,7.9,2.17,8.33,6.15,52,1012.6,25.6,26.5,18.6,99,99
2017,1,10,11,50,74,6.3,7.7,2.09,8.33,6.26,51,1013.3,25.8,26.5,18.4,99,99
2017,1,10,12,50,77,6.1,7.2,2.06,8.33,6.3,63,1013.9,25.8,26.6,18.7,99,99
2017,1,10,13,50,59,7,8.1,1.96,9.09,6.3,50,1014,25.3,26.6,19.7,99,99
2017,1,10,14,50,64,6.8,8,2,9.09,6.22,47,1013.7,25.2,26.7,19.8,99,99
2017,1,10,15,50,86,8,9.7,2.01,8.33,6.41,59,1012.9,25.5,26.7,20.3,99,99
2017,1,10,16,50,67,6.3,7.7,1.96,9.09,6.09,40,1012.1,25.4,26.7,19.8,99,99
2017,1,10,17,50,65,5.9,7.1,1.94,9.09,6.12,41,1011.4,25.6,26.7,19.9,99,99
2017,1,10,18,50,62,5.8,7,1.88,8.33,6.27,52,1011.2,25.7,26.7,19.6,99,99
2017,1,10,19,50,75,5.5,6.7,1.87,8.33,6.4,55,1011.3,26,26.7,18.4,99,99
2017,1,10,20,50,79,5.5,7,1.72,7.69,6.12,60,1011.7,25.9,26.7,19.2,99,99
2017,1,10,21,50,74,5.4,6.6,1.82,10.81,6.52,59,1012.1,25.5,26.6,20.1,99,99
2017,1,10,22,50,70,6.3,7.7,1.91,10,6.37,47,1012.7,25.7,26.6,19.3,99,99
2017,1,10,23,50,76,6.1,7.9,1.8,9.09,6.2,50,1013.1,25.7,26.6,19.1,99,99
2017,1,11,0,50,82,6.1,7.4,1.65,10.81,6.17,51,1013.5,25.7,26.6,19.5,99,99
2017,1,11,1,50,77,6.2,8,1.76,7.69,6.36,60,1013.6,25.6,26.6,19.6,99,99
2017,1,11,2,50,78,6.6,7.5,1.66,9.09,6.23,47,1013.3,25.6,26.6,19.1,99,99
2017,1,11,3,50,84,5.9,6.9,1.81,8.33,6.4,53,1013.4,25.5,26.6,19.2,99,99
2017,1,11,4,50,75,5.4,6.4,1.66,10,6.12,46,1012.7,25.4,26.6,19.3,99,99
2017,1,11,5,50,71,5.9,7.3,1.69,9.09,6.12,51,1011.9,25.2,26.6,19.9,99,99
2017,1,11,6,50,87,6,7.2,1.67,10.81,6.24,47,1011.7,25.3,26.6,19.9,99,99
2017,1,11,7,50,85,4.6,5.6,1.69,10,6.1,42,1011.9,25.3,26.5,19,99,99
2017,1,11,8,50,91,4.1,5.1,1.66,10,6.31,58,1012.1,25.2,26.5,19.7,99,99
2017,1,11,9,50,84,4.6,5.8,1.54,8.33,6.07,51,1012.9,25.2,26.6,19.1,99,99
2017,1,11,10,50,80,4,5.2,1.63,9.09,6.21,48,1013.7,25.5,26.6,19.1,99,99
